detector,descriptor,img_id,pts,pts_on_car,matches,detection_time,description_time,total_time,match_dist
ORB,ORB,0005,500,125,109,7.60218,0.262144,7.86432,29.6239
ORB,ORB,0006,500,130,125,7.4711,0.262144,7.73325,29.952
ORB,ORB,0007,500,129,130,7.66771,0.32768,7.99539,32.6077
ORB,ORB,0008,500,127,129,7.92986,0.32768,8.25754,33.3178
ORB,ORB,0009,500,128,127,7.73325,0.393216,8.12646,32.4331
ORB,FREAK,0001,500,102,46,7.53664,0.131072,7.66771,33.7391
ORB,FREAK,0002,500,106,53,7.60218,0.065536,7.66771,39.5472
ORB,FREAK,0003,500,113,56,7.92986,0.131072,8.06093,43.8036
ORB,FREAK,0004,500,109,65,7.53664,0.196608,7.73325,50.4308
ORB,FREAK,0005,500,125,55,7.40557,0.262144,7.66771,43.1273
ORB,FREAK,0006,500,130,64,7.79878,0.131072,7.92986,44.2812
ORB,FREAK,0007,500,129,66,7.66771,0.262144,7.92986,45.6364
ORB,FREAK,0008,500,127,71,7.86432,0.262144,8.12646,58.3944
ORB,FREAK,0009,500,128,73,7.66771,0.196608,7.86432,44.6301
ORB,SIFT,0001,500,102,92,7.73325,0.393216,8.12646,85.7474
ORB,SIFT,0002,500,106,102,7.73325,0.262144,7.99539,83.3759
ORB,SIFT,0003,500,113,106,7.99539,0.393216,8.38861,95.6562
ORB,SIFT,0004,500,109,113,7.60218,0.32768,7.92986,83.6335
ORB,SIFT,0005,500,125,109,7.66771,0.458752,8.12646,81.122
ORB,SIFT,0006,500,130,125,7.79878,0.393216,8.192,80.8814
ORB,SIFT,0007,500,129,130,7.34003,0.458752,7.79878,81.7633
ORB,SIFT,0008,500,127,129,7.73325,0.393216,8.12646,96.6341
ORB,SIFT,0009,500,128,127,7.92986,0.393216,8.32307,71.6389
AKAZE,AKAZE,0001,1327,157,166,62.5869,0.524288,63.1112,41.3735
AKAZE,AKAZE,0002,1311,161,157,72.5484,0.458752,73.0071,38.8344
AKAZE,AKAZE,0003,1351,155,161,82.1166,0.458752,82.5754,42.5093
AKAZE,AKAZE,0004,1360,163,155,77.9878,0.524288,78.5121,44.471
AKAZE,AKAZE,0005,1347,164,163,69.9924,0.589824,70.5823,47.092
AKAZE,AKAZE,0006,1363,173,164,73.9901,0.458752,74.4489,37.189
